Time,Day_of_week,Weather,Vehicle_type,Average_speed,Driving_Experience,Type_of_Collision,Area,Road_Alignment,Traffic_Density,Road_Condition,Temperature (°C),Accident_severity
22:08,Wednesday,Foggy,Truck,120.89,Novice,Pedestrian,Highway,Junction,High,Muddy,18.06,Fatal Injury
06:33,Wednesday,Clear,Bicycle,97.95,Intermediate,Pedestrian,Rural,Straight,Low,Wet,32.31,Serious Injury
01:22,Saturday,Cloudy,Bus,137.44,Intermediate,Vehicle overturn,Urban,Straight,Low,Dry,16.52,Fatal Injury
18:02,Friday,Clear,Bus,47.69,Experienced,Rear-end,Highway,Junction,Low,Muddy,35.92,Slight Injury
12:45,Thursday,Clear,Bicycle,99.43,Intermediate,Side,Urban,Straight,Low,Dry,33.75,Serious Injury
23:00,Wednesday,Clear,Motorcycle,83.09,Experienced,Rear-end,Urban,Curve,Medium,Wet,37.87,Serious Injury
04:55,Wednesday,Snowy,Motorcycle,44.75,Intermediate,Pedestrian,Rural,Straight,Medium,Muddy,-1.17,Slight Injury
23:30,Monday,Snowy,Truck,57.53,Novice,Side,Rural,Junction,Medium,Muddy,2.52,Slight Injury
11:38,Wednesday,Rainy,Auto,63.17,Novice,Rear-end,Urban,Straight,Low,Muddy,11.4,Slight Injury
01:23,Tuesday,Snowy,Truck,68.37,Novice,Rear-end,Rural,Straight,High,Dry,-4.12,Slight Injury
15:18,Saturday,Cloudy,Bus,33.13,Novice,Head-on,Rural,Junction,Low,Muddy,15.08,Slight Injury
13:49,Monday,Cloudy,Bicycle,23.61,Novice,Rear-end,Urban,Curve,Medium,Dry,16.6,Slight Injury
17:41,Friday,Foggy,Truck,122.28,Experienced,Side,Rural,Junction,Medium,Wet,11.82,Fatal Injury
15:37,Monday,Foggy,Auto,90.3,Novice,Head-on,Rural,Junction,Low,Muddy,11.29,Serious Injury
16:10,Thursday,Clear,Car,88.56,Experienced,Side,Urban,Straight,Low,Muddy,26.03,Serious Injury
04:18,Monday,Rainy,Truck,67.15,Intermediate,Side,Highway,Curve,High,Wet,18.76,Serious Injury
13:13,Saturday,Rainy,Bus,96.54,Experienced,Side,Rural,Junction,Low,Dry,11.46,Serious Injury
14:27,Sunday,Cloudy,Truck,86.55,Experienced,Pedestrian,Highway,Junction,High,Muddy,24.22,Fatal Injury
15:13,Sunday,Foggy,Motorcycle,111.26,Experienced,Rear-end,Urban,Junction,Medium,Dry,13.65,Fatal Injury
21:30,Sunday,Foggy,Auto,71.04,Experienced,Head-on,Urban,Junction,Low,Dry,18.16,Serious Injury
06:05,Monday,Rainy,Truck,45.42,Novice,Vehicle overturn,Highway,Junction,Medium,Wet,17.56,Slight Injury
01:49,Tuesday,Clear,Bicycle,97.51,Novice,Head-on,Highway,Curve,Low,Muddy,31.19,Serious Injury
08:35,Saturday,Foggy,Auto,45.88,Intermediate,Head-on,Urban,Curve,High,Muddy,16.81,Slight Injury
13:45,Friday,Snowy,Bicycle,60.81,Novice,Side,Rural,Curve,Medium,Muddy,-1.39,Serious Injury
16:59,Wednesday,Cloudy,Motorcycle,39.67,Intermediate,Side,Highway,Straight,Low,Wet,24.6,Slight Injury
09:59,Tuesday,Snowy,Auto,23.14,Novice,Head-on,Urban,Straight,High,Wet,9.53,Slight Injury
18:16,Saturday,Clear,Motorcycle,30.1,Intermediate,Side,Urban,Straight,Medium,Dry,27.13,Slight Injury
03:01,Tuesday,Clear,Bus,78.74,Intermediate,Vehicle overturn,Rural,Junction,Low,Wet,30.8,Serious Injury
07:39,Saturday,Cloudy,Bicycle,78.4,Intermediate,Head-on,Highway,Straight,High,Muddy,27.43,Serious Injury
12:06,Saturday,Snowy,Auto,104.74,Intermediate,Vehicle overturn,Urban,Straight,Medium,Muddy,-1.82,Fatal Injury
03:06,Monday,Clear,Car,67.56,Experienced,Vehicle overturn,Urban,Straight,High,Dry,35.04,Slight Injury
17:44,Saturday,Clear,Bicycle,68.8,Intermediate,Side,Rural,Straight,Low,Muddy,33.4,Slight Injury
10:10,Tuesday,Cloudy,Bus,28.32,Intermediate,Rear-end,Rural,Straight,Low,Muddy,21.1,Slight Injury
01:02,Friday,Snowy,Truck,91.8,Experienced,Side,Highway,Straight,Low,Wet,-4.02,Serious Injury
06:20,Monday,Snowy,Car,84.42,Intermediate,Head-on,Urban,Curve,High,Dry,6.65,Fatal Injury
05:55,Tuesday,Clear,Motorcycle,69.74,Novice,Pedestrian,Highway,Straight,Low,Wet,27.41,Serious Injury
12:24,Friday,Rainy,Motorcycle,27.32,Experienced,Head-on,Rural,Straight,High,Wet,17.06,Slight Injury
05:06,Monday,Windy,Auto,28.6,Experienced,Rear-end,Rural,Straight,Low,Wet,25.82,Slight Injury
15:40,Wednesday,Cloudy,Auto,98.63,Novice,Side,Rural,Curve,High,Wet,19.34,Fatal Injury
20:11,Sunday,Windy,Auto,65.36,Intermediate,Pedestrian,Urban,Straight,Medium,Muddy,34.84,Serious Injury
06:51,Saturday,Windy,Auto,95.49,Novice,Rear-end,Highway,Curve,Low,Muddy,35.11,Serious Injury
05:38,Friday,Snowy,Car,86.13,Novice,Pedestrian,Rural,Straight,High,Muddy,4.94,Serious Injury
03:00,Thursday,Snowy,Bus,82.5,Novice,Vehicle overturn,Rural,Curve,Medium,Wet,-2.28,Fatal Injury
03:07,Saturday,Snowy,Motorcycle,32.32,Experienced,Pedestrian,Urban,Junction,Low,Dry,5.69,Slight Injury
20:50,Friday,Snowy,Motorcycle,92.7,Novice,Rear-end,Rural,Straight,High,Wet,7.8,Fatal Injury
11:09,Friday,Clear,Auto,124.74,Experienced,Head-on,Highway,Junction,High,Dry,26.16,Fatal Injury
03:49,Wednesday,Windy,Car,43.74,Intermediate,Side,Urban,Straight,Medium,Wet,36.86,Slight Injury
16:41,Monday,Rainy,Bicycle,125.0,Novice,Side,Urban,Curve,Low,Wet,12.49,Fatal Injury
17:55,Wednesday,Snowy,Car,45.29,Novice,Head-on,Highway,Straight,Medium,Wet,-2.91,Slight Injury
06:47,Friday,Rainy,Motorcycle,69.24,Novice,Head-on,Rural,Straight,Medium,Muddy,19.59,Slight Injury
09:49,Wednesday,Snowy,Bicycle,131.26,Novice,Side,Highway,Straight,High,Wet,7.75,Fatal Injury
02:09,Friday,Windy,Car,46.17,Experienced,Rear-end,Urban,Curve,High,Wet,28.51,Slight Injury
20:08,Monday,Clear,Bicycle,58.82,Experienced,Side,Highway,Junction,Low,Muddy,25.96,Slight Injury
